Suburb,Month,Year,avg_price
BALWYN NORTH,September,2017,1821647.429
BAYSWATER,May,2017,657500
BAYSWATER,June,2017,758418.8
BAYSWATER,July,2017,686333.3333
BAYSWATER,August,2017,630797
BAYSWATER,September,2017,820500
BAYSWATER NORTH,June,2017,741166.5
BAYSWATER NORTH,July,2017,683171.4
BAYSWATER NORTH,August,2017,678857
BAYSWATER NORTH,September,2017,793000
BEACONSFIELD,July,2017,581333.3333
BEACONSFIELD UPPER,June,2017,675000
BEAUMARIS,May,2017,2364375
BEAUMARIS,June,2017,1733458.333
BEAUMARIS,July,2017,1373575
BEAUMARIS,August,2017,1860200.5
BEAUMARIS,September,2017,1682379.167
BELLFIELD,April,2016,770000
BELLFIELD,May,2016,635000
BELLFIELD,June,2016,804867
BELLFIELD,July,2016,752000
BELLFIELD,August,2016,773000
BELLFIELD,September,2016,780000
BELLFIELD,October,2016,890000
BELLFIELD,November,2016,835000
BELLFIELD,December,2016,804867
BELLFIELD,February,2017,720000
BELLFIELD,March,2017,778622.3333
BELLFIELD,April,2017,849433.5
BELLFIELD,May,2017,875500
BELLFIELD,July,2017,850291.5
BELLFIELD,August,2017,852333.3333
BELLFIELD,September,2017,900000
BENTLEIGH,February,2016,1222500
BENTLEIGH,April,2016,1572660.2
BENTLEIGH,May,2016,1291966.833
BENTLEIGH,June,2016,1330413.231
BENTLEIGH,July,2016,1114000
BENTLEIGH,August,2016,1325730.762
BENTLEIGH,September,2016,1155856.579
BENTLEIGH,October,2016,1240767.231
BENTLEIGH,November,2016,1233013.731
BENTLEIGH,December,2016,1259079
BENTLEIGH,February,2017,1406000
BENTLEIGH,March,2017,1158740.077
BENTLEIGH,April,2017,960861.2727
BENTLEIGH,May,2017,1359558.333
BENTLEIGH,June,2017,1330212.083
BENTLEIGH,July,2017,1214500
BENTLEIGH,August,2017,1401079
BENTLEIGH,September,2017,1456156.08
BENTLEIGH EAST,February,2016,788435
BENTLEIGH EAST,April,2016,971800
BENTLEIGH EAST,May,2016,996996.2941
BENTLEIGH EAST,June,2016,981595.8824
BENTLEIGH EAST,July,2016,1067437.5
BENTLEIGH EAST,August,2016,1134945.036
BENTLEIGH EAST,September,2016,1088130.075
BENTLEIGH EAST,October,2016,992755.2143
BENTLEIGH EAST,November,2016,1069963.529
BENTLEIGH EAST,December,2016,1048535.818
BENTLEIGH EAST,February,2017,1133062.429
BENTLEIGH EAST,March,2017,1138301.87
BENTLEIGH EAST,April,2017,1102709.471
BENTLEIGH EAST,May,2017,1191266.853
BENTLEIGH EAST,June,2017,1286987.379
BENTLEIGH EAST,July,2017,1127327
BENTLEIGH EAST,August,2017,1216928.219
BENTLEIGH EAST,September,2017,1182822.242
BERWICK,May,2017,782333.3333
BERWICK,June,2017,649250
BERWICK,July,2017,776821.4286
BERWICK,August,2017,707666.6667
BERWICK,September,2017,894541.6667
BLACK ROCK,May,2017,851750
BLACK ROCK,June,2017,1165333.333
BLACK ROCK,July,2017,907500
BLACK ROCK,August,2017,1386089.25
BLACK ROCK,September,2017,1639214.286
BLACKBURN,June,2017,1363765.444
BLACKBURN,July,2017,1173674.7
BLACKBURN,August,2017,1232546
BLACKBURN,September,2017,1454476.214
BLACKBURN NORTH,June,2017,1029500
BLACKBURN NORTH,July,2017,985055.5
BLACKBURN NORTH,August,2017,1275000
BLACKBURN NORTH,September,2017,1189400
BLACKBURN SOUTH,May,2017,1258000
BLACKBURN SOUTH,June,2017,1111261.167
BLACKBURN SOUTH,July,2017,1025509.571
BLACKBURN SOUTH,August,2017,1097366.714
BLACKBURN SOUTH,September,2017,1095011.167
BONBEACH,June,2017,836000
BONBEACH,August,2017,920000
BONBEACH,September,2017,1211666.667
BORONIA,May,2017,748833
BORONIA,June,2017,752666.5
BORONIA,July,2017,785104.125
BORONIA,August,2017,769333.3333
BORONIA,September,2017,739733.2
BOX HILL,April,2016,1056666.667
BOX HILL,May,2016,1250208.25
BOX HILL,June,2016,1568011.429
BOX HILL,July,2016,1080866.6
BOX HILL,August,2016,832437.3333
BOX HILL,September,2016,1508961.857
BOX HILL,October,2016,1173042.286
BOX HILL,November,2016,1381074.7
BOX HILL,December,2016,1344965.25
BOX HILL,February,2017,1710000
BOX HILL,March,2017,677453.6667
BOX HILL,April,2017,1428687.2
BOX HILL,May,2017,1244047.571
BOX HILL,June,2017,1862666.5
BOX HILL,July,2017,1606953.667
BOX HILL,August,2017,1083143.5
BOX HILL,September,2017,1508572.5
BRAYBROOK,April,2016,664424
BRAYBROOK,May,2016,470000
BRAYBROOK,June,2016,498333.3333
BRAYBROOK,July,2016,684969.6
BRAYBROOK,August,2016,625833.3333
BRAYBROOK,September,2016,689472.25
BRAYBROOK,October,2016,747463
BRAYBROOK,November,2016,689187.5
BRAYBROOK,December,2016,660317.25
BRAYBROOK,February,2017,592000
BRAYBROOK,March,2017,634500
BRAYBROOK,April,2017,692385.7143
BRAYBROOK,May,2017,620333.3333
BRAYBROOK,June,2017,681474.6667
BRAYBROOK,July,2017,625700
BRAYBROOK,August,2017,906884.5
BRAYBROOK,September,2017,738577
BRIAR HILL,May,2017,590000
BRIAR HILL,June,2017,673750
BRIAR HILL,July,2017,840000
BRIAR HILL,August,2017,820000
BRIAR HILL,September,2017,679800
BRIGHTON,April,2016,1658295
BRIGHTON,May,2016,1750894.414
BRIGHTON,June,2016,2023238.385
BRIGHTON,July,2016,1843902.75
BRIGHTON,August,2016,1907993.25
BRIGHTON,September,2016,1832204.3
BRIGHTON,October,2016,1633787.909
BRIGHTON,November,2016,2055336.525
BRIGHTON,December,2016,2246517.333
BRIGHTON,February,2017,1864471.538
BRIGHTON,March,2017,2165168.684
BRIGHTON,April,2017,2499042.471
BRIGHTON,May,2017,2060880.167
BRIGHTON,June,2017,1857148.381
BRIGHTON,July,2017,1573093.385
BRIGHTON,August,2017,2177673.115
BRIGHTON,September,2017,2064011.25
BRIGHTON EAST,April,2016,1701288.4
BRIGHTON EAST,May,2016,1517330.844
BRIGHTON EAST,June,2016,1848318
BRIGHTON EAST,July,2016,909000
BRIGHTON EAST,August,2016,1607005.857
BRIGHTON EAST,September,2016,1646122.964
BRIGHTON EAST,October,2016,1945918.231
BRIGHTON EAST,November,2016,1697061.97
BRIGHTON EAST,December,2016,1633778.941
BRIGHTON EAST,February,2017,1515292.857
BRIGHTON EAST,March,2017,1565665.143
BRIGHTON EAST,April,2017,1583170.3
BRIGHTON EAST,May,2017,1694139.111
BRIGHTON EAST,June,2017,1870254.211
BRIGHTON EAST,July,2017,1225564.333
BRIGHTON EAST,August,2017,1528030.842
BRIGHTON EAST,September,2017,1589846.571
BROADMEADOWS,May,2017,484593.3333
BROADMEADOWS,June,2017,342000
BROADMEADOWS,July,2017,513071.0667
BROADMEADOWS,August,2017,685857.1429
BROADMEADOWS,September,2017,530250
BROOKFIELD,July,2017,456000
BROOKLYN,May,2016,524250
BROOKLYN,June,2016,480000
