Suburb,DateMonth,avg_price
Brighton East,1/08/2016,1607005.86
Brighton East,1/09/2016,1646122.96
Brighton East,1/10/2016,1945918.23
Brighton East,1/11/2016,1697061.97
Brighton East,1/12/2016,1633778.94
Brighton East,1/02/2017,1515292.86
Brighton East,1/03/2017,1565665.14
Brighton East,1/04/2017,1583170.30
Brighton East,1/05/2017,1694139.11
Brighton East,1/06/2017,1870254.21
Brighton East,1/07/2017,1225564.33
Brighton East,1/08/2017,1528030.84
Brighton East,1/09/2017,1589846.57
Broadmeadows,1/05/2017,484593.33
Broadmeadows,1/06/2017,342000.00
Broadmeadows,1/07/2017,513071.07
Broadmeadows,1/08/2017,685857.14
Broadmeadows,1/09/2017,530250.00
Brookfield,1/07/2017,456000.00
Brooklyn,1/05/2016,524250.00
Brooklyn,1/06/2016,480000.00
Brooklyn,1/08/2016,719191.50
Brooklyn,1/09/2016,488191.50
Brooklyn,1/10/2016,610977.00
Brooklyn,1/11/2016,716666.67
Brooklyn,1/12/2016,485000.00
Brooklyn,1/02/2017,543142.75
Brooklyn,1/03/2017,790000.00
Brooklyn,1/04/2017,676250.00
Brooklyn,1/05/2017,670999.67
Brooklyn,1/06/2017,820000.00
Brooklyn,1/07/2017,526775.00
Brooklyn,1/09/2017,901000.00
Brunswick,1/04/2016,914193.69
Brunswick,1/05/2016,854372.04
Brunswick,1/06/2016,949002.25
Brunswick,1/07/2016,1021069.10
Brunswick,1/08/2016,865091.29
Brunswick,1/09/2016,880024.15
Brunswick,1/10/2016,1017315.88
Brunswick,1/11/2016,953900.75
Brunswick,1/12/2016,1026773.13
Brunswick,1/02/2017,994000.00
Brunswick,1/03/2017,1129140.94
Brunswick,1/04/2017,955500.00
Brunswick,1/05/2017,1124804.41
Brunswick,1/06/2017,1048856.68
Brunswick,1/07/2017,1078101.20
Brunswick,1/08/2017,952223.00
Brunswick,1/09/2017,901566.27
Brunswick East,1/04/2016,1023000.00
Brunswick East,1/05/2016,893183.36
Brunswick East,1/06/2016,835038.50
Brunswick East,1/07/2016,823400.00
Brunswick East,1/08/2016,979269.80
Brunswick East,1/09/2016,1041285.71
Brunswick East,1/10/2016,734223.60
Brunswick East,1/11/2016,1078918.63
Brunswick East,1/12/2016,1045623.60
Brunswick East,1/02/2017,675372.67
Brunswick East,1/03/2017,1008194.14
Brunswick East,1/04/2017,821253.83
Brunswick East,1/05/2017,882483.41
Brunswick East,1/06/2017,983889.75
Brunswick East,1/07/2017,745325.46
Brunswick East,1/08/2017,768602.58
Brunswick East,1/09/2017,842707.54
Brunswick West,1/04/2016,879250.00
Brunswick West,1/05/2016,724722.89
Brunswick West,1/06/2016,707119.62
Brunswick West,1/07/2016,925166.67
Brunswick West,1/08/2016,676187.50
Brunswick West,1/09/2016,796276.25
Brunswick West,1/10/2016,782381.89
Brunswick West,1/11/2016,869007.94
Brunswick West,1/12/2016,823618.33
Brunswick West,1/02/2017,844500.00
Brunswick West,1/03/2017,674027.83
Brunswick West,1/04/2017,860354.44
Brunswick West,1/05/2017,804172.25
Brunswick West,1/06/2017,897652.33
Brunswick West,1/07/2017,643711.77
Brunswick West,1/08/2017,1025246.36
Brunswick West,1/09/2017,796850.38
Bulleen,1/04/2016,1150500.00
Bulleen,1/05/2016,1223928.60
Bulleen,1/06/2016,1072714.33
Bulleen,1/07/2016,1038000.00
Bulleen,1/08/2016,1060771.80
Bulleen,1/09/2016,1194428.57
Bulleen,1/10/2016,1093469.43
Bulleen,1/11/2016,1192648.83
Bulleen,1/12/2016,1189444.44
Bulleen,1/02/2017,1073333.33
Bulleen,1/03/2017,1305000.00
Bulleen,1/04/2017,1144143.60
Bulleen,1/05/2017,1074543.14
Bulleen,1/06/2017,1193333.33
Bulleen,1/07/2017,1210500.00
Bulleen,1/08/2017,1286333.33
Bulleen,1/09/2017,1164333.33
Bundoora,1/05/2017,824812.50
Bundoora,1/06/2017,775954.55
Bundoora,1/07/2017,761470.27
Bundoora,1/08/2017,867266.67
Bundoora,1/09/2017,803483.10
Burnley,1/04/2016,881000.00
Burnley,1/09/2016,1202500.00
Burnley,1/12/2016,1118005.00
Burnley,1/02/2017,1435000.00
Burnley,1/05/2017,1837500.00
Burnley,1/06/2017,1100000.00
Burnley,1/08/2017,370000.00
Burnley,1/09/2017,370000.00
Burnside,1/08/2017,599375.00
Burnside,1/09/2017,657500.00
Burnside Heights,1/05/2017,586500.00
Burnside Heights,1/06/2017,527200.00
Burnside Heights,1/07/2017,535000.00
Burnside Heights,1/08/2017,603000.00
Burnside Heights,1/09/2017,617500.00
Burwood,1/02/2016,1453000.00
Burwood,1/04/2016,1449832.33
Burwood,1/05/2016,1209138.00
Burwood,1/06/2016,1156188.19
Burwood,1/07/2016,813033.00
Burwood,1/08/2016,1042147.57
Burwood,1/09/2016,1063857.75
Burwood,1/10/2016,1387721.50
Burwood,1/11/2016,1244069.64
Burwood,1/12/2016,1369233.55
Burwood,1/02/2017,1186954.40
Burwood,1/03/2017,1192990.13
Burwood,1/04/2017,1241038.33
Burwood,1/05/2017,1217113.26
Burwood,1/06/2017,1090985.00
Burwood,1/07/2017,1399921.17
Burwood,1/08/2017,1335377.00
Burwood,1/09/2017,1353821.36
Burwood East,1/05/2017,780000.00
Burwood East,1/06/2017,1149496.33
Burwood East,1/07/2017,1166116.86
Burwood East,1/08/2017,1000000.00
Burwood East,1/09/2017,1010508.22
Cairnlea,1/05/2017,720000.00
Cairnlea,1/06/2017,724100.00
Cairnlea,1/07/2017,656640.00
Cairnlea,1/08/2017,560000.00
Cairnlea,1/09/2017,716833.50
Camberwell,1/04/2016,1618702.44
Camberwell,1/05/2016,2278600.41
Camberwell,1/06/2016,1528848.67
Camberwell,1/07/2016,1175859.60
Camberwell,1/08/2016,2174429.26
Camberwell,1/09/2016,2031818.76
Camberwell,1/10/2016,1931758.73
Camberwell,1/11/2016,1510308.96
Camberwell,1/12/2016,1960128.69
Camberwell,1/02/2017,2140156.40
Camberwell,1/03/2017,1994653.90
Camberwell,1/04/2017,1388153.55
Camberwell,1/05/2017,2321166.93
Camberwell,1/06/2017,1818597.75
Camberwell,1/07/2017,1267067.79
Camberwell,1/08/2017,1928011.53
Camberwell,1/09/2017,2050647.73
Campbellfield,1/08/2017,650000.00
Canterbury,1/01/2016,2778864.00
Canterbury,1/04/2016,1317237.50
Canterbury,1/05/2016,3077349.00
Canterbury,1/06/2016,1134080.00
Canterbury,1/07/2016,1421593.75
Canterbury,1/08/2016,2944279.67
Canterbury,1/09/2016,1859539.83
Canterbury,1/10/2016,2350644.00
Canterbury,1/11/2016,2118858.00
Canterbury,1/12/2016,2660973.17
Canterbury,1/02/2017,3289432.00
Canterbury,1/03/2017,2409025.38
Canterbury,1/04/2017,2014000.00
Canterbury,1/05/2017,3098144.73
Canterbury,1/06/2017,1937691.29
Canterbury,1/07/2017,816000.00
Canterbury,1/08/2017,2319074.00
Canterbury,1/09/2017,2382418.08
Carlton,1/04/2016,1199898.67
Carlton,1/05/2016,1007103.17
Carlton,1/06/2016,1096666.67
Carlton,1/07/2016,778500.00
Carlton,1/08/2016,1054142.86
Carlton,1/09/2016,1355000.00
Carlton,1/10/2016,880000.00
Carlton,1/11/2016,817333.33
Carlton,1/12/2016,921111.00
Carlton,1/02/2017,2160500.00
Carlton,1/03/2017,1032087.00
Carlton,1/04/2017,876250.00
Carlton,1/05/2017,947782.67
Carlton,1/06/2017,1046666.50
Carlton,1/07/2017,921253.63
Carlton,1/08/2017,1206087.00
Carlton,1/09/2017,845366.00
Carlton North,1/04/2016,1867000.00
Carlton North,1/05/2016,1967350.00
Carlton North,1/06/2016,725000.00
Carlton North,1/07/2016,1401916.50
Carlton North,1/08/2016,1397111.00
Carlton North,1/09/2016,1116611.00
Carlton North,1/10/2016,1047500.00
Carlton North,1/11/2016,2400000.00
Carlton North,1/12/2016,1128625.00
Carlton North,1/02/2017,1623111.00
Carlton North,1/03/2017,1555291.63
Carlton North,1/04/2017,550000.00
Carlton North,1/05/2017,1537908.30
Carlton North,1/06/2017,1881700.00
Carlton North,1/07/2017,1213333.33
Carlton North,1/08/2017,1585666.50
Carlton North,1/09/2017,1144266.60
Carnegie,1/04/2016,981867.30
Carnegie,1/05/2016,1049722.41
Carnegie,1/06/2016,649764.71
Carnegie,1/07/2016,696650.00
Carnegie,1/08/2016,890443.14
Carnegie,1/09/2016,1036666.67
Carnegie,1/10/2016,562964.50
Carnegie,1/11/2016,914550.44
Carnegie,1/12/2016,1026515.88
Carnegie,1/02/2017,1004118.18
Carnegie,1/03/2017,849153.87
Carnegie,1/04/2017,759795.40
Carnegie,1/05/2017,1020796.93
Carnegie,1/06/2017,1083617.93
Carnegie,1/07/2017,909600.95
Carnegie,1/08/2017,817414.86
Carnegie,1/09/2017,995520.00
Caroline Springs,1/05/2017,545444.00
Caroline Springs,1/06/2017,778333.33
Caroline Springs,1/07/2017,519666.67
Caroline Springs,1/08/2017,785000.00
Caroline Springs,1/09/2017,646000.00
Carrum,1/05/2017,885000.00
Carrum,1/06/2017,758238.17
Carrum,1/07/2017,650000.00
Carrum,1/08/2017,685000.00
Carrum,1/09/2017,721750.00
Carrum Downs,1/05/2017,532500.00
Carrum Downs,1/06/2017,550486.00
Carrum Downs,1/07/2017,510166.67
Carrum Downs,1/08/2017,561375.00
Carrum Downs,1/09/2017,559250.00
Caulfield,1/04/2016,1220000.00
Caulfield,1/06/2016,1090000.00
Caulfield,1/09/2016,722500.00
Caulfield,1/11/2016,638000.00
Caulfield,1/12/2016,1146656.00
Caulfield,1/02/2017,131000.00
Caulfield,1/03/2017,436500.00
Caulfield,1/04/2017,496656.00
Caulfield,1/05/2017,552500.00
Caulfield,1/06/2017,730500.00
Caulfield,1/08/2017,1070000.00
Caulfield,1/09/2017,341000.00
Caulfield East,1/05/2016,555000.00
Caulfield East,1/06/2016,1315000.00
Caulfield East,1/07/2016,1335000.00
Caulfield East,1/10/2016,1300000.00
Caulfield East,1/12/2016,620000.00
Caulfield East,1/02/2017,1000000.00
Caulfield East,1/05/2017,650926.00
Caulfield East,1/06/2017,350000.00
Caulfield East,1/07/2017,1550000.00
Caulfield East,1/09/2017,1011694.50
Caulfield North,1/05/2016,1215833.33
Caulfield North,1/08/2016,1030166.67
Caulfield North,1/09/2016,865093.00
Caulfield North,1/10/2016,2115000.00
Caulfield North,1/11/2016,542000.00
Caulfield North,1/12/2016,984333.33
Caulfield North,1/02/2017,1245800.00
Caulfield North,1/03/2017,844522.25
Caulfield North,1/04/2017,532500.00
Caulfield North,1/05/2017,1368179.13
Caulfield North,1/06/2017,901081.83
Caulfield North,1/07/2017,564904.67
Caulfield North,1/08/2017,1542500.00
Caulfield North,1/09/2017,1080000.00
Caulfield South,1/04/2016,1043500.00
Caulfield South,1/05/2016,1447386.18
